type_nomenclature_code,cd_nomenclature,mnemonique,label_default,definition_default,label_fr,definition_fr,cd_nomenclature_broader,hierarchy
TYPE_PERTURBATION,Ira,Irrigation par aspersion,Irrigation par aspersion,Gestion de l'eau: Irrigation par aspersion,Irrigation par aspersion,Gestion de l'eau: Irrigation par aspersion,GeE,.003.004
TYPE_PERTURBATION,Cur,Curage,Curage,"Gestion de l'eau: Curage (fossé, mare, serve)",Curage,"Gestion de l'eau: Curage (fossé, mare, serve)",GeE,.003.005
TYPE_PERTURBATION,Ext,Extraction de granulats,Extraction de granulats,Gestion de l'eau: Extraction de granulats,Extraction de granulats,Gestion de l'eau: Extraction de granulats,GeE,.003.006
TYPE_PERTURBATION,AcA,Activités agricoles,Activités agricoles,Type de perturbation: Activités agricoles,Activités agricoles,Type de perturbation: Activités agricoles,0,.004
TYPE_PERTURBATION,Lab,Labour,Labour,Activités agricoles: Labour,Labour,Activités agricoles: Labour,AcA,.004.001
TYPE_PERTURBATION,Fer,Fertilisation,Fertilisation,Activités agricoles: Fertilisation,Fertilisation,Activités agricoles: Fertilisation,AcA,.004.002
TYPE_PERTURBATION,Prp,Produits phyosanitaires,Produits phyosanitaires,Activités agricoles: Produits phyosanitaires (épandage),Produits phyosanitaires,Activités agricoles: Produits phyosanitaires (épandage),AcA,.004.003
TYPE_PERTURBATION,Fauc,Fauchaison,Fauchaison,Activités agricoles: Fauchaison,Fauchaison,Activités agricoles: Fauchaison,AcA,.004.004
TYPE_PERTURBATION,Apb,Apport de blocs,Apport de blocs,Activités agricoles: Apport de blocs (déterrés par le labour),Apport de blocs,Activités agricoles: Apport de blocs (déterrés par le labour),AcA,.004.005
TYPE_PERTURBATION,Gyr,Gyrobroyage,Gyrobroyage,Activités agricoles: Gyrobroyage,Gyrobroyage,Activités agricoles: Gyrobroyage,AcA,.004.006
